itemid,name,topicid,TopicName,comment,yes,no,voteSum,scores,death_confirmed,emotionality,intentionality,species
8582,Ace Ventura: When Nature Calls,153,a dog dies,"In a parody of Cliffhanger, a racoon falls from a mountain to its death. Otherwise, taxidermy animals are seen, a dead zebra is eaten, an alligator is wrestled and an albino bat is manhandled but survives.",1,0,18,,no,NA,NA,NA
8582,Ace Ventura: When Nature Calls,189,an animal dies,We see an animal fall to their death,1,0,3,,yes,3,ambiguous,unknown
8585,Adam's Apples,186,a cat dies,A cat is shot while in a tree.,1,0,2,,yes,3,deliberate,cat
8585,Adam's Apples,189,an animal dies,They shoot crows and also the cat,1,0,2,,yes,2,deliberate,crow; cat
8587,Addams Family Values,186,a cat dies,The family buries a box that meows (we don't see the actual cat). We don't see them dig it back up again so the cat probably did not survive.,1,0,17,,ambiguous,3,ambiguous,cat
8587,Addams Family Values,189,an animal dies,An American Bald Eagle gets shot with an arrow and falls to it's death in front of the camp.,1,0,5,,yes,3,deliberate,bald eagle
8615,Airplane,153,a dog dies,"Shep the dog attacks a man. The dog is not hurt. A horse is seen briefly, sleeping in a bed with a woman. A Dalmatian barks from a fire truck.",0,1,1,,no,NA,NA,NA
8617,Akira,153,a dog dies,"Two dogs are shot, one right after the other, and the blood trail is shown. About minute marks 7:30-8:15 in the film.",1,0,7,,yes,4,deliberate,dog
8621,Alice In Wonderland,189,an animal dies,"TweedleDum and TweedleDee (two funny egg-shaped men Alice meets) tell a generally nonsensical story in which a walrus and a carpenter lure some baby oysters (who look less like faceless molluscs and more like little babies) from their seabed home, only for the walrus to eat them.",1,0,5,,yes,3,deliberate,oyster
8629,Aliens,186,a cat dies,The cat from the first film (Alien) appears at the beginning of this film but is left safely at home and does not encounter any aliens.,0,1,22,,no,NA,NA,NA
8629,Aliens,189,an animal dies,There's a scene in the Special Edition (possibly other extended cuts) where the Marines find a lab with live hamsters in cages. These are never rescued and thus die (offscreen) when the colony is destroyed.,1,0,7,,ambiguous,2,accidental,hamster
8632,All Dogs Go to Heaven,153,a dog dies,"Animated. Charlie the dog dies, goes to heaven, escapes back to earth, has some adventures and in the end dies again. His nemesis Carface the dog dies as well. Itchy the dog is injured but recovers.",1,0,17,,yes,3,ambiguous,dog
8663,American Beauty,189,an animal dies,Dead bird shown on the creepy guys camera,1,0,1,,yes,2,ambiguous,bird
8664,American Gangster,153,a dog dies,A dog is shot and killed while guarding money hidden under the doghouse.,1,0,15,,yes,3,deliberate,dog
8671,American Sniper,153,a dog dies,"A shell-shocked man sees a dog playfully wrestling with a boy and yanks the dog away. He is about to beat the dog, who is very frightened, but stops at the last minute.",1,0,13,,no,NA,NA,NA
8671,American Sniper,189,an animal dies,A deer is shot in an early scene. It is not particularly graphic. A snake is shot in a later scene.,1,0,1,,yes,2,deliberate,deer; snake
8678,Amores Perros,153,a dog dies,There are scenes of dog fighting in which dogs die. A dog is injured in a car accident and another is lost in the floorboards. A homeless man's dogs are killed by a dog-fighting dog that the man tries to take in.,1,0,15,,yes,4,ambiguous,dog
8684,An American Werewolf In London,153,a dog dies,"There are a couple of dogs in the film but none of them get hurt. The werewolf does get killed, however.",0,1,6,,no,NA,NA,NA
8684,An American Werewolf In London,189,an animal dies,"A deer is killed by the star in a dream sequence, and of course there ate the werewolves",1,0,5,,yes,2,deliberate,deer; werewolf
8688,An Unfinished Life,186,a cat dies,"There are cats all over the ranch, but they are fed fresh milk and never harmed in any way.",0,1,1,,no,NA,NA,NA
8688,An Unfinished Life,189,an animal dies,"Offscreen a bear is shot with a tranquilizer dart. Later, he is seen languishing unhappy in a cage, but is eventually set free.
He is never harmed or tormented.",0,1,2,,no,NA,NA,NA
8692,Anastasia,153,a dog dies,"Animated. Pooka the dog and Bartok the bat survive, unharmed.",0,1,18,,no,NA,NA,NA
8693,Anatomy of a Murder,153,a dog dies,There is a dog in the film (and it is crucial to the plot!) but it does not die nor is it ever hurt.,0,1,1,,no,NA,NA,NA
8693,Anatomy of a Murder,189,an animal dies,Main character unpacks and cleans several dead fish after a fishing trip (they are already dead when we see them).,1,0,1,,yes,1,deliberate,fish
8695,Anchorman: the Legend of Ron Burgundy,153,a dog dies,"Ron Burgundy's dog, Baxter, is punted off of a bridge. He eventually shows up again, having miraculously survived.",1,0,16,,no,NA,NA,NA
8699,Andrei Rublev,153,a dog dies,A dog dies offscreen but its screaming can be heard.,1,0,1,,yes,4,ambiguous,dog
8699,Andrei Rublev,189,an animal dies,A horse dies onscreen (and off.),1,0,1,,yes,2,ambiguous,horse
8701,Angel Heart,153,a dog dies,"A horse kicks a dog with full contact. If you're saying no to this question, you don't know much about horses. Not much chance that dog survived",1,0,2,,ambiguous,3,accidental,dog
8704,The Angry Birds Movie,189,an animal dies,"Most likely, as an anthropomorphic animal is in the middle of a huge explosion and is never seen again. Other anthropomorphic animals may die, too, I'm not sure.",1,0,1,,ambiguous,3,ambiguous,unknown
8716,Anna Karenina,189,an animal dies,A horse breaks its back and gets shot,1,0,3,,yes,4,deliberate,horse
8721,Annie Hall,189,an animal dies,"A lobster is put in a boiling pot, and spiders get squished (we don't see the spiders, but we see Allen flailing around with a tennis racket to kill them)",1,0,2,,yes,2,deliberate,lobster; spider
8725,Ant-Man,153,a dog dies,"A literal dog doesn't die, but a loyal animal companion does die - which is in spirit with this trigger.",1,0,5,,no,NA,NA,NA
8725,Ant-Man,189,an animal dies,"As well as the lamb, an ant that Scott formed a close bond with dies.",1,0,10,,yes,4,ambiguous,lamb; ant
8728,Antichrist,153,a dog dies,"No dogs die in the movie, but there is some disturbing animal imagery.",0,1,4,,no,NA,NA,NA
8728,Antichrist,189,an animal dies,"A deer with it's stillborn baby still attached hed to it's v****a A tiny dead duckling falls from an unknown height and lands with a thud and rolls a bit it the sand. It is covered with ants as though it's been dead for some time. A fox in obvious pain and, perhaps as someone else wrote, eating his own entrails. A black bird - like Grackle size - appeared to be tangled in some roots and is still alive. The man frees him and he wants it away from him; he hits the bird, even pounding it to death. I have NO idea why this awful things had to be in here. I finally just turned the movie off.",1,0,5,,yes,5,deliberate,deer; duck; fox; bird
8732,Apocalypse Now,153,a dog dies,"A live ox is hacked to death in this film (a real ox, not a mock one). Also, after a boat is shot up a puppy is found in a barrel, unhurt. One of the soldiers takes the puppy and later it disappears during an attack. What exactly happened to it is left to",1,0,12,,ambiguous,3,ambiguous,dog
8732,Apocalypse Now,189,an animal dies,A real ox is slowly hacked apart onscreen.,1,0,12,,yes,5,deliberate,ox
8733,Apocalypto,153,a dog dies,It's off-screen.,1,0,2,,ambiguous,2,ambiguous,unknown
8733,Apocalypto,189,an animal dies,"They kill a boar, and later a jaguar. The boar isn’t too bad, as it’s quickly put out of its misery. The jaguar scene is a lot tougher, especially before a few minutes before it shows the jaguar cub. :-/",1,0,2,,yes,4,deliberate,boar; jaguar
8738,Apt Pupil,186,a cat dies,"A man attempts to put a cat in an oven but it escapes. A bird is crushed to death by a basketball. (Note that in the Stephen King story the movie is based on, a cat does die.)",1,0,17,,no,NA,NA,NA
8738,Apt Pupil,189,an animal dies,An injured bird is killed.,1,0,2,,yes,2,deliberate,bird
8740,Arachnophobia,153,a dog dies,There is a dead cat in the spiderweb about 3/4 of the way through. It's very obviously a fake but still. There is also a dead rat. Neither were killed onscreen.,1,0,3,,no,NA,NA,NA
8740,Arachnophobia,186,a cat dies,You don't see it happen but you see it's body in a spider web.,1,0,6,,yes,2,ambiguous,cat
8740,Arachnophobia,189,an animal dies,"A crow is bitten by the spider and dies. A mouse is injected with spider venom and dies. Lots of dead animals (that look super fake) caught in spider webs: mouse, rat, bat, maybe a cat.",1,0,6,,yes,2,ambiguous,crow; mouse; rat; bat; cat
8744,Armageddon,153,a dog dies,"A dog falls in to a hole created by a meteorite and hangs by his harness-style leash. The dog is later seen on the street with his owner, having been rescued from the hole.",0,1,15,,no,NA,NA,NA
8748,Arthur Christmas,153,a dog dies,"NO - there are in fact multiple dogs, but none of them die.",0,1,1,,no,NA,NA,NA
8748,Arthur Christmas,186,a cat dies,I don't think there are any cats.,0,1,1,,no,NA,NA,NA
8748,Arthur Christmas,189,an animal dies,There is however a dead rat when Arthur’s grandpa shows him the sleigh,0,1,1,,ambiguous,1,ambiguous,rat
8753,As Good As It Gets,153,a dog dies,Verdell the dog gets shoved down a trash chute but is unharmed.,0,1,16,,no,NA,NA,NA
8765,Atonement,189,an animal dies,Horses are shown getting shot in the head  intentionally at the 1h7m mark.,1,0,2,,yes,3,deliberate,horse
8770,Attack the Block,153,a dog dies,A pet dog is killed off-screen by an alien.,1,0,15,,yes,3,deliberate,dog
8770,Attack the Block,189,an animal dies,"Kind of depends on whether you see the aliens as ""animals"" or not. They certainly look and act animalistic.",1,0,2,,ambiguous,NA,NA,NA
8772,August: Osage County,153,a dog dies,"A story is told about pet parakeets dying from the heat. Since the birds are only mentioned and never seen, we're not counting them as actual deaths.",0,1,15,,no,NA,NA,NA
8775,Austin Powers: International Man of Mystery,186,a cat dies,"A cat is cryogenically frozen. When he reawakens, he has lost all his hair. At the end of the film the cat meows with icicles hanging from his face.",1,0,15,,no,NA,NA,NA
8776,Austin Powers: The Spy Who Shagged Me,153,a dog dies,Two cats appear in the film. One almost gets his ear gnawed on but neither come to any harm. A sight gag makes it appear that a gerbil is being removed from someone's behind when it is actually being unpacked from some luggage.,0,1,15,,no,NA,NA,NA
8777,Australia,153,a dog dies,A dog is shot and killed off-screen.,1,0,16,,yes,2,deliberate,dog
8777,Australia,189,an animal dies,A kangaroo is shot offscreen. A few cows fell off the cliff to their death.,1,0,1,,yes,2,deliberate,kangaroo; cow
8783,Avengers: Age of Ultron,153,a dog dies,A dog does not die in Avengers Age of Ultron!,0,1,3,,no,NA,NA,NA
8788,Babe,153,a dog dies,"Babe, the talking pig from the title, goes through some trauma and ends up near death but he does not die. However at the beginning of the film his mother is taken away to be slaughtered and later a talking sheep is mortally wounded by feral dogs.",1,0,14,,no,NA,NA,NA
8788,Babe,189,an animal dies,A duck dies for Christmas dinner. You don't see it but you hear the swing of the knife. Then see the family eat duck the next day.,1,0,2,,yes,2,deliberate,duck
8794,Back to the Future,153,a dog dies,Doc's dog Einstein comes to no harm in any of the films.,0,1,20,,no,NA,NA,NA
8795,Back to the Future Part II,153,a dog dies,im pretty sure the dog is immortal actually,0,1,8,,ambiguous,NA,NA,dog
8797,Backcountry,153,a dog dies,There’s no dog.,0,1,2,,no,NA,NA,NA
8797,Backcountry,189,an animal dies,"Dead fish are shown being gutted and eaten, a dead deer killed and eaten by a bear is also shown. Their deaths are not shown.",1,0,1,,yes,1,ambiguous,fish; deer
8807,Badlands,153,a dog dies,A dog is shot and killed.,1,0,15,,yes,3,deliberate,dog
8807,Badlands,189,an animal dies,"Cows are shown being kicked and forcefed; live catfish is thrown in a garden to die, another is shown gasping in a bedroom.",1,0,3,,ambiguous,3,deliberate,catfish
8815,Bambi,153,a dog dies,Animated. Bambi's mother is shot and killed by a hunter.,1,0,16,,no,NA,NA,NA
8815,Bambi,189,an animal dies,A bird is shot shortly after taking flight.,1,0,2,,yes,2,deliberate,bird
8827,BASEketball,189,an animal dies,"Chickens get vacuumed into some kind of shredder or dicing machine. We hear the saw blade noises and some chicken screams, before the machine blows out a puff of feathers.",1,0,1,,yes,3,ambiguous,chicken
8846,Beaches,153,a dog dies,No Visual but C.C describes the incident in detail of her dog Arthur dying from being hit by a laundry truck.,1,0,1,,yes,3,accidental,dog
8850,Beasts of the Southern Wild,153,a dog dies,"Drowning of many animals is implied, but not shown. She has a small dog that survives the whole film, though. Dead cow and coyote (? intestines visible and part of jaw missing) shown. At one point some ancient creatures eat one of their own.",1,0,2,,no,NA,NA,NA
8866,Beetlejuice,153,a dog dies,"Towards the beginning of the movie, a couple swerves to avoid a dog on the road, but end up crashing their car. The dog is unharmed.",0,1,19,,no,NA,NA,NA
8866,Beetlejuice,189,an animal dies,A fly and cockroach are eaten.,0,1,12,,yes,1,ambiguous,fly; cockroach
8888,Benny & Joon,189,an animal dies,A pet goldfish.,1,0,2,,ambiguous,NA,ambiguous,goldfish
8892,Bernie,153,a dog dies,An armadillo is shot at but is not hit.,0,1,15,,no,NA,NA,NA
8894,Best In Show,153,a dog dies,No dogs are hurt or die in this film.,0,1,16,,no,NA,NA,NA
8906,Big Hero 6,153,a dog dies,There are no dogs that are seen.,0,1,1,,no,NA,NA,NA
8906,Big Hero 6,186,a cat dies,Mochi is completely fine.,0,1,7,,no,NA,NA,NA
8928,Black Hawk Down,153,a dog dies,the dogs are about the only thing that dont die,1,0,1,,no,NA,NA,NA
8928,Black Hawk Down,189,an animal dies,"Wild animals are seen from helicopter and someone comments on them (early in movie). Offscreen, it is assumed at least one was shot because the next scene briefly shows it being roasted for dinner. Obvious leadup, quick follow through. No other animals die.",1,0,3,,ambiguous,2,deliberate,unknown
8946,Blazing Saddles,189,an animal dies,It's implied but happens off camera,0,1,1,,ambiguous,2,ambiguous,unknown
8951,Blindness,153,a dog dies,Towards the end of the film they find a stray dog. The dog stays with the group and is still alive at the end of the movie.,0,1,2,,no,NA,NA,NA
8968,Blown Away,153,a dog dies,A dog is killed off-screen. Its body is briefly seen hanging upside down.,1,0,14,,yes,3,deliberate,dog
8971,Blue Ruin,189,an animal dies,A fish is cleaned on screen.,1,0,1,,ambiguous,1,deliberate,fish
8972,Blue Valentine,153,a dog dies,"The family dog runs away and is later found dead on the side of the road, presumably having been hit by a car.",1,0,14,,yes,4,accidental,dog
8972,Blue Valentine,189,an animal dies,a dog dies,1,0,2,,yes,3,ambiguous,dog
8973,Blue Velvet,189,an animal dies,An insect is eaten by a bird.,0,1,2,,yes,1,accidental,insect
8979,Body of Lies,153,a dog dies,A dog is stabbed multiple times when it attacks a man. It ends up b****y but does not die.,1,0,17,,no,NA,NA,NA
8980,Bolt,153,a dog dies,"Animated. A dog, a cat and a hamster go through some scary situations but none die. The cat is accidentally knocked out at one point but is unharmed.",0,1,18,,no,NA,NA,NA
8980,Bolt,186,a cat dies,"Animated. A dog, a cat and a hamster go through some scary situations but none die. The cat is accidentally knocked out at one point but is unharmed.",0,1,18,,no,NA,NA,NA
8983,Bone Tomahawk,153,a dog dies,A dog or wolf is shot off-screen and can be heard whimpering.,1,0,8,,ambiguous,3,deliberate,dog; wolf
8983,Bone Tomahawk,189,an animal dies,"~50 min: Wolf/dog gets shot off screen. Hear whimpering but nothing visual on screen. 

~51 min: snake killed in tree but only hear gunshot. 

-1hr 3min: horse is injured and has to be euthanized by a gun. You hear the pained horse and gun shot but nothing is visual.",1,0,3,,yes,3,ambiguous,wolf/dog; snake; horse
8997,Braindead,153,a dog dies,The dog is eaten by a zombie,1,0,7,,yes,3,ambiguous,dog
8997,Braindead,189,an animal dies,"A monkey is killed and eaten by a stop motion rat-monkey, which is later crushed",1,0,3,,yes,2,deliberate,monkey; rat-monkey
9001,Brave,189,an animal dies,In the opening they kill a chicken. It’s not graphic but it’s. Out of nowhere and distressing.,1,0,3,,yes,4,deliberate,chicken
9002,Braveheart,186,a cat dies,There are no cats in this movie. Please ignore the trolls voting YES.,0,1,3,,no,NA,NA,NA
9002,Braveheart,189,an animal dies,"Since this category was not meant to include horses, it should be 100% NO votes, since no other animals die in this movie.",0,1,2,,ambiguous,NA,NA,NA
9004,Breakfast At Tiffanys,186,a cat dies,The cat is thrown against some wooden blinds but not hurt and abandoned but later rescued. He does not die.,0,1,17,,no,NA,NA,NA
9004,Breakfast At Tiffanys,189,an animal dies,A buffalo head is mounted on her wall,1,0,1,,ambiguous,1,ambiguous,buffalo
9010,Bridesmaids,153,a dog dies,Many puppies appear in this film. None of them are harmed.,0,1,16,,no,NA,NA,NA
9016,Bringing Up Baby,153,a dog dies,"Two pets appear: George the dog and Baby the leopard. Neither are harmed, though they do get in a fight at one point. A truck full of chickens, ducks, etc. crashes and we are later told that Baby ate some of them. A zoo leopard that has attacked a man is h",0,1,15,,no,NA,NA,NA
9016,Bringing Up Baby,189,an animal dies,We are told that the leopard eats some chickens although nothing is seen.,1,0,1,,yes,2,accidental,chicken
9020,Brotherhood of the Wolf,153,a dog dies,"Many wolves are killed, mutilated, & harmed, and dogs are used in dogfighting.",1,0,1,,ambiguous,3,deliberate,wolf; dog
9020,Brotherhood of the Wolf,189,an animal dies,"Tons of wolves die on screen, are mutilated & shot, & even taxidermied on screen, & dogs die. Horses are also put in threat of fire.",1,0,1,,yes,4,deliberate,wolf; dog
9021,Bruce Almighty,153,a dog dies,The doggy is fine and unharmed :),0,1,4,,no,NA,NA,NA
9048,Butch Cassidy And the Sundance Kid,153,a dog dies,"No dogs in this movie... not sure why people are voting ""yes""",0,1,1,,no,NA,NA,NA
9048,Butch Cassidy And the Sundance Kid,189,an animal dies,Sundance shoots a snake.,1,0,1,,yes,2,deliberate,snake
9053,Cabaret,153,a dog dies,A woman's dog is killed by Nazis.,1,0,15,,yes,4,deliberate,dog
9053,Cabaret,189,an animal dies,the pet dog of a Jewish woman is killed and left on her doorstep at 1:31:18. the dog has no visible injuries and looks asleep. the scene ends at 1:31:23.,1,0,2,,yes,4,deliberate,dog
9056,Caddyshack,153,a dog dies,"Despite the greenskeeper's best efforts to exterminate it, the gopher lives.",0,1,14,,no,NA,NA,NA
9059,Calvary,153,a dog dies,A dog belonging to a priest is found dead with its neck slit.,1,0,16,,yes,3,deliberate,dog
9062,Candyman,153,a dog dies,A dog is killed and decapitated.,1,0,23,,yes,4,deliberate,dog
9062,Candyman,189,an animal dies,"It’s not an animal beside a dog, cat or horse, that’s why people are voting no. The dog as stated above dies. 
",0,1,3,,yes,2,ambiguous,dog
9070,Cape Fear,153,a dog dies,The family dog is poisoned and dies.,1,0,14,,yes,4,deliberate,dog
9070,Cape Fear,189,an animal dies,"Well, to answer the other commenter, people have marked NO, because they can read correctly, and they know this category is not meant to include dog, cat, and horse deaths.",0,1,4,,ambiguous,NA,NA,NA
9075,Captain Fantastic,153,a dog dies,"There are no dogs in this film, and no dog dies. A deer is killed at the start of the film",0,1,1,,no,NA,NA,NA
9075,Captain Fantastic,189,an animal dies,"A deer has it’s throat cut, and the camera lingers on the animal’s last breaths.",1,0,6,,yes,4,deliberate,deer
9084,Carrie,189,an animal dies,"Pigs get slaughtered, but it's not all too explicit (the camera is focused on the characters and not the pigs and the killing).",1,0,13,,yes,2,deliberate,pig
9095,Casino Royale,189,an animal dies,Mongoose,1,0,1,,ambiguous,NA,ambiguous,mongoose
9097,Cast Away,189,an animal dies,He does kill fish and crabs.,1,0,4,,yes,2,deliberate,fish; crab
9102,Cat People,186,a cat dies,"At the end of the film, a panther at the zoo escapes from its cage and gets hit by a car. You hear tires screech and you see its partly obscured body under the car.",1,0,1,,ambiguous,3,accidental,panther
9102,Cat People,189,an animal dies,A bird's dead body is shown after Irena opens the bird cage. A couple of dead sheep are shown after Alice gets on the bus.,1,0,3,,yes,2,ambiguous,bird; sheep
9103,Cat People,186,a cat dies,The bad guy panther is shot and falls from a window.,1,0,1,,yes,3,deliberate,panther
9104,Cats Eye,153,a dog dies,No but freaking Cujo is in the movie.,0,1,4,,ambiguous,NA,NA,NA
9104,Cats Eye,186,a cat dies,"The cat General is tortured with electric shocks, wounded by a tiny monster, and threatened with euthanasia but ultimately lives. However, a pet parakeet is killed by the tiny monster.",1,0,16,,no,NA,NA,NA
9104,Cats Eye,189,an animal dies,A parakeet,1,0,4,,ambiguous,NA,ambiguous,parakeet
9106,Catch Me If You Can,153,a dog dies,He does talk about a dog having died but it's not shown and probably not true,0,1,1,,ambiguous,2,ambiguous,dog
9119,Chappie,153,a dog dies,"Chappie, Ninja and Amerika go to visit Tha King. They see lots of pit bulls tied up, waiting to be fought. Chappie finds a dog that has previously passed.",1,0,2,,yes,2,ambiguous,dog
9120,Charlie And the Chocolate Factory,189,an animal dies,WIlly Wonka kills a bug.,1,0,5,,yes,1,deliberate,bug
9127,Charlottes Web,153,a dog dies,"Wilbur the pig, who is at risk of being slaughtered for dinner, does not die. Charlotte, the spider who rescues him, does die.",1,0,14,,no,NA,NA,NA
9141,Chicken Run,153,a dog dies,"There are dogs, but they don't die.",0,1,3,,no,NA,NA,NA
9141,Chicken Run,189,an animal dies,"Fairly early in the movie, a chicken is killed off-camera.",1,0,7,,yes,2,ambiguous,chicken
9148,Children of Men,153,a dog dies,"Many animals including cats and dogs appear in the film. Most of them don't die, but in one scene it is implied that a dog is poisoned off-screen and dies. There is also a scene where cows are burned.",1,0,16,,ambiguous,3,deliberate,dog
9148,Children of Men,189,an animal dies,"A dog is blown up in a coffee shop, dead animals shown flashing screen, and horses dead in a burning pile",1,0,2,,yes,4,ambiguous,dog; horse
9167,Cinderella,186,a cat dies,Lucifer falls out of a window but the sequels show he survived.,0,1,9,,no,NA,NA,NA
9169,Cinema Paradiso,189,an animal dies,A cow is killed in a slaughter house off screen. You see the animal fall to the ground.,1,0,2,,yes,2,deliberate,cow
9173,City Slickers,153,a dog dies,"Norman the baby cow jumps into the river but makes it, (dramatic and emotional scene)",1,0,2,,no,NA,NA,NA
9173,City Slickers,189,an animal dies,Two horses die and their graves are shown.,1,0,3,,yes,3,ambiguous,horse
9178,Cléo from 5 to 7,186,a cat dies,There are a couple of cute kittens- nothing bad happens to them.,0,1,1,,no,NA,NA,NA
9180,Click,189,an animal dies,"Yes, but not on screen.",1,0,2,,ambiguous,NA,ambiguous,unknown
9181,Cliffhanger,189,an animal dies,rabbit gets shot at but doesnt die,0,1,1,,no,NA,NA,NA
9184,Close Encounters of the Third Kind,153,a dog dies,"Some cows, sheep, and a pair of canaries appear dead but are later revealed to be drugged and presumably unharmed.",1,0,15,,no,NA,NA,NA
9184,Close Encounters of the Third Kind,189,an animal dies,"Several animals (cows, sheep, birds) appear to die or are found looking dead, but are later on revealed to be drugged with a sleeping agent. There is one shot where birds fall from a tree and struggle on the ground as if they are dying.",1,0,3,,no,NA,NA,NA
9186,Cloud Atlas,153,a dog dies,A dog is shot and killed.,1,0,19,,yes,3,deliberate,dog
9186,Cloud Atlas,186,a cat dies,"A cat is used to hide someone's genitals, the cat claws that person's legs and is then thrown across the room, but seems unharmed",0,1,1,,no,NA,NA,NA
9189,Cloverfield,153,a dog dies,There are no dogs shown in the movie so no dogs die,0,1,2,,no,NA,NA,NA
9205,Coming to America,153,a dog dies,In the room they rent in queens the outline of a dog is on the floor that was clearly killed (you don’t actually see the dog) and the man says “damn shame what they did to that dog”,1,0,3,,ambiguous,2,deliberate,dog
9208,Con Air,189,an animal dies,"There's a rabbit that goes through a lot, but is okay in the end.",1,0,1,,no,NA,NA,NA
9212,The Conjuring,153,a dog dies,"Sadie, the dog, is found dead at 15:40 by one of the daughters. skip to 16:20 to avoid.",1,0,93,,yes,4,ambiguous,dog
9212,The Conjuring,189,an animal dies,A pigeon slams into the side of the house and dies in the grass.,1,0,15,,yes,2,accidental,pigeon
9213,Constantine,153,a dog dies,"There are no dogs in this film (Constantine, 2005, starting Keanu Reeves).",0,1,4,,no,NA,NA,NA
9213,Constantine,189,an animal dies,"When the spear carrier walks past a field of cows, they all die.

A demon formed of bugs also gets hit by a car, killing many of the bugs.",1,0,13,,yes,2,ambiguous,cow; bug
9223,Cool Hand Luke,153,a dog dies,A tracking dog dies of exhaustion.,1,0,16,,yes,3,accidental,dog
9223,Cool Hand Luke,189,an animal dies,A snapping turtle is shot in the creek where the prisoners are clearing sage and bushes.,1,0,1,,yes,2,deliberate,snapping turtle
