id,name,cleanName,dog_yes_votes,dog_no_votes,cat_yes_votes,cat_no_votes,animal_yes_votes,animal_no_votes
22205,Avengers: Endgame,avengers endgame,16,161,14,140,50,81
15890,Avengers: Infinity War,avengers infinity war,66,251,50,178,172,94
994360,WALL·E,wall e,2,27,0,23,0,27
12189,The Shining,shining,2,144,0,111,2,111
12738,Raiders of the Lost Ark,raiders lost ark,1,22,0,18,39,0
8629,Aliens,aliens,0,53,0,53,6,34
8732,Apocalypse Now,apocalypse now,9,29,0,22,52,0
13647,Coco,coco,14,104,3,74,5,67
11000,Rear Window,rear window,65,1,0,25,5,25
43726,Spider-Man: Across the Spider-Verse,spider man across spider verse,0,3,0,4,0,5
18899,Once Upon a Time in the West,once upon time west,0,8,0,7,7,1
49135,Grave of the Fireflies,grave fireflies,0,10,1,12,15,2
9169,Cinema Paradiso,cinema paradiso,0,2,0,3,5,0
34500,Modern Times,modern times,0,4,0,3,0,3
47499,City Lights,city lights,0,6,0,5,0,4
20457,Joker,joker,5,151,3,141,0,126
8663,American Beauty,american beauty,0,25,0,21,13,2
12736,Up,up,22,45,0,44,2,38
11382,Return of the Jedi,return jedi,7,29,0,21,31,0
9789,Good Will Hunting,good will hunting,0,31,0,23,0,25
9514,Eternal Sunshine of the Spotless Mind,eternal sunshine spotless mind,32,7,1,33,39,2
42205,Reservoir Dogs,reservoir dogs,0,36,0,23,0,26
9002,Braveheart,braveheart,0,13,3,13,16,3
12405,Toy Story,toy story,2,37,0,30,0,28
11146,Scarface,scarface,0,19,0,15,0,14
11024,Requiem for a Dream,requiem dream,1,51,1,45,0,44
12407,Toy Story 3,toy story iii,0,14,0,11,0,12
1031479,Oppenheimer,oppenheimer,22,164,2,83,9,90
14134,Amélie,amélie,3,18,0,20,3,18
19404,Heat,heat,0,14,0,10,1,10
8468,2001: a Space Odyssey,2001 space odyssey,1,32,1,26,28,3
10753,Oldboy,oldboy,66,4,0,34,49,0
15513,Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,dr strangelove or how i learned stop worrying love bomb,0,18,0,13,0,13
15478,3 Idiots,3 idiots,0,7,0,5,0,5
8660,Amadeus,amadeus,0,14,0,11,0,10
11976,The Lives of Others,lives others,0,3,0,3,0,3
22673,Your Name.,your name,0,19,0,15,0,14
16191,Das Boot,das boot,0,3,0,3,0,3
70805,Sunset Boulevard,sunset boulevard,0,11,0,10,14,0
17052,The Great Dictator,great dictator,0,3,0,3,0,3
48443,Paths of Glory,paths glory,0,6,0,6,0,6
52168,Harakiri,harakiri,0,6,0,5,0,6
12313,The Wolf of Wall Street,wolf wall street,3,40,0,30,54,1
8835,Batman Begins,batman begins,1,20,0,18,0,14
11248,Shutter Island,shutter island,0,49,0,34,2,33
12442,The Truman Show,truman show,1,69,0,60,0,59
10251,Kill Bill: Vol 1,kill bill vol i,0,49,0,40,0,40
9602,Finding Nemo,finding nemo,3,45,1,41,65,1
10720,No Country for Old Men,no country old men,126,2,0,42,63,4
10211,Jurassic Park,jurassic park,2,101,0,80,121,1
12196,The Sixth Sense,sixth sense,3,62,0,44,3,47
8495,A Beautiful Mind,beautiful mind,0,14,0,14,0,15
13756,Die Hard,die hard,1,43,0,31,0,34
11492,Taxi Driver,taxi driver,1,31,0,25,1,26
780911,Spider-Man: No Way Home,spider man no way home,0,62,0,54,2,61
25052,Snatch,snatch,36,3,0,13,14,3
8511,A Clockwork Orange,clockwork orange,5,57,2,52,66,3
10949,Prisoners,prisoners,69,15,0,41,69,0
10077,Indiana Jones and the Last Crusade,indiana jones last crusade,3,14,0,11,17,1
9701,Full Metal Jacket,full metal jacket,1,24,0,14,1,12
27762,Top Gun: Maverick,top gun maverick,0,49,2,42,46,7
22265,1917,1917,59,8,0,58,65,4
10812,Pan's Labyrinth,pans labyrinth,4,36,1,33,51,1
14317,There Will Be Blood,there will be blood,0,22,0,16,0,16
16902,Green Book,green book,0,20,0,17,0,16
20077,L.A. Confidential,la confidential,0,8,0,6,0,6
34304,Casino,casino,0,9,0,7,0,8
10587,Monty Python And the Holy Grail,monty python holy grail,1,49,45,8,54,2
12243,The Thing,thing,355,9,4,160,123,80
10016,Howl's Moving Castle,howls moving castle,0,61,0,48,2,43
9171,Citizen Kane,citizen kane,0,8,0,9,0,8
10948,Princess Mononoke,princess mononoke,66,1,0,43,73,0
18388,Once Upon a Time in America,once upon time america,0,9,0,7,1,7
19430,The Hunt,hunt,36,0,1,15,28,0
35292,North by Northwest,north by northwest,0,7,0,7,0,7
12379,To Kill a Mockingbird,kill mockingbird,30,0,0,9,11,0
10330,Lawrence of Arabia,lawrence arabia,1,11,0,10,12,0
12946,Singin In the Rain,singin rain,0,16,0,16,0,15
92512,A Separation,separation,0,2,0,2,0,2
10071,Incendies,incendies,0,14,0,9,0,11
18090,Dangal,dangal,0,2,0,2,0,2
15479,Like Stars On Earth,like stars on earth,0,3,0,4,0,4
14024,The Apartment,apartment,0,15,0,11,0,11
18119,Metropolis,metropolis,0,11,0,11,0,9
17050,M,m,0,3,0,3,0,3
22885,Double Indemnity,double indemnity,0,4,0,4,0,4
14290,Witness for the Prosecution,witness prosecution,0,4,0,2,0,2
21103,Capernaum,capernaum,0,5,0,4,0,3
13651,Senna,senna,0,2,0,4,0,2
10882,Pirates of the Caribbean: The Curse of the Black Pearl,pirates caribbean curse black pearl,1,53,0,42,0,39
9106,Catch Me If You Can,catch me if you can,0,16,0,13,0,13
10441,Mad Max: Fury Road,mad max fury road,1,64,0,54,69,0
9780,Gone Girl,gone girl,0,65,0,69,1,58
10584,"Monsters, Inc.",monsters inc,0,32,0,29,0,27
9882,Harry Potter And the Deathly Hallows: Part 2,harry potter deathly hallows ii,3,29,1,29,35,0
12238,The Terminator,terminator,69,0,0,34,22,17
20686,The Grand Budapest Hotel,grand budapest hotel,1,54,108,0,38,33
10993,Ratatouille,ratatouille,2,39,0,38,37,7
686767,Logan,logan,0,19,0,12,0,12
11583,The Big Lebowski,big lebowski,0,46,0,33,0,30
10092,Inside Out,inside out,9,60,1,50,58,5
10013,How to Train Your Dragon,how train your dragon,0,58,0,52,59,0
22506,Blade Runner,blade runner,0,18,0,17,0,16
9802,Gran Torino,gran torino,4,27,0,13,17,3
8460,12 Years a Slave,12 years slave,1,14,0,12,0,12
9569,Fargo,fargo,0,24,0,17,0,17
12413,Trainspotting,trainspotting,2,55,0,46,1,41
10549,Million Dollar Baby,million dollar baby,4,2,0,3,1,3
10154,Jaws,jaws,203,24,2,81,109,2
11068,Rocky,rocky,2,18,0,11,2,11
13024,Hacksaw Ridge,hacksaw ridge,0,12,1,8,0,7
10396,"Lock, Stock and Two Smoking Barrels",lock stock ii smoking barrels,4,11,0,7,1,7
18147,Dead Poets Society,dead poets society,0,94,0,78,0,80
14008,"Three Billboards Outside Ebbing, Missouri",three billboards outside ebbing missouri,0,31,0,25,3,23
11097,Rush,rush,0,9,0,7,0,7
21536,Ford v. Ferrari,ford v ferrari,0,14,0,9,0,10
11355,Spotlight,spotlight,0,5,0,5,0,6
15605,Warrior,warrior,1,5,0,3,1,3
21668,The Help,help,0,21,0,20,24,0
11747,The Exorcist,exorcist,3,66,0,50,0,42
14899,Room,room,3,41,0,34,43,9
11372,Stand By Me,stand by me,0,40,0,35,0,36
10889,Platoon,platoon,3,14,0,6,18,3
236742,Unforgiven,unforgiven,0,8,0,7,11,0
12311,The Wizard of Oz,wizard oz,1,31,1,17,1,18
15502,Vertigo,vertigo,0,18,0,14,0,17
12972,Downfall,downfall,21,0,0,6,0,7
12756,Gone With the Wind,gone with wind,0,14,0,15,18,0
16936,Some Like It Hot,some like it hot,0,24,0,23,0,22
98124,The Sting,sting,0,5,0,6,0,5
14439,For a Few Dollars More,a few dollars more,0,6,0,4,1,3
55750,The Elephant Man,elephant man,0,8,0,3,0,5
28718,The Great Escape,great escape,0,3,1,2,1,2
12170,The Secret In Their Eyes,secret their eyes,0,4,0,3,0,3
21523,Klaus,klaus,0,34,0,29,0,26
79538,The Father,father,0,11,0,9,0,11
14186,Dial M for Murder,dial m murder,0,7,0,6,0,6
1059280,The Wild Robot,wild robot,2,62,0,43,93,2
24957,Bicycle Thieves,bicycle thieves,0,6,0,5,0,5
17015,All About Eve,all about eve,0,5,0,5,0,5
38634,The Kid,kid,0,4,0,3,0,4
22401,Come and See,come see,0,28,0,18,51,0
76031,Ikiru,ikiru,0,5,0,3,0,4
176119,High and Low,high low,0,7,0,7,0,7
770520,The Avengers,avengers,1,42,0,32,7,22
9827,Guardians of the Galaxy,guardians galaxy,2,30,0,25,32,4
9320,Deadpool,deadpool,1,94,1,66,2,67
12004,The Martian,martian,0,36,0,35,0,36
587445,Dune,dune,0,67,0,56,0,62
12142,The Revenant,revenant,28,2,0,17,31,0
11294,Slumdog Millionaire,slumdog millionaire,0,7,0,5,1,8
9411,Donnie Darko,donnie darko,55,17,1,56,7,57
11894,The Incredibles,incredibles,0,24,0,28,9,20
8936,Black Swan,black swan,0,77,0,59,0,65
11884,The Imitation Game,imitation game,0,24,0,23,0,23
10252,Kill Bill: Vol 2,kill bill vol ii,1,31,0,27,11,18
11268,Sin City,sin city,8,1,0,4,3,1
12823,La La Land,la la land,1,32,1,23,1,25
11926,The Kings Speech,kings speech,0,8,0,7,0,7
1449450,Blade Runner 2049,blade runner 2049,7,65,0,32,1,27
9095,Casino Royale,casino royale,1,20,0,13,11,1
9821,Groundhog Day,groundhog day,0,31,0,26,34,2
9924,Her,her,0,21,4,17,1,15
10108,Into the Wild,into wild,6,14,1,8,19,0
17736,The Bourne Ultimatum,bourne ultimatum,0,5,0,4,0,4
15397,Twelve Monkeys,twelve monkeys,0,5,0,5,1,3
13959,Blood Diamond,blood diamond,6,9,1,2,4,2
21171,The Pursuit of Happyness,pursuit happyness,0,6,0,6,1,7
811680,Zootopia,zootopia,3,51,1,38,2,34
19381,Rain Man,rain man,0,14,0,9,0,8
12957,Beauty And the Beast,beauty beast,3,30,0,30,45,0
8618,Aladdin,aladdin,0,17,0,14,0,14
12114,The Princess Bride,princess bride,0,73,0,65,71,2
13546,Big Fish,big fish,0,7,0,7,5,2
10369,Life of Brian,life brian,0,9,0,10,12,1
10640,My Neighbor Totoro,my neighbor totoro,0,47,0,43,0,45
37888,Soul,soul,2,46,17,33,9,28
13978,Raging Bull,raging bull,0,9,0,5,0,6
20026,Hotel Rwanda,hotel rwanda,0,4,0,3,0,3
11706,The Deer Hunter,deer hunter,11,5,0,6,13,0
22824,Chinatown,chinatown,0,10,0,8,0,10
22559,Before Sunrise,before sunrise,0,13,0,11,0,12
9836,Hachi: a Dogs Tale,hachi dogs tale,115,4,1,22,37,8
14182,Before Sunset,before sunset,0,8,0,5,0,4
12208,The Sound of Music,sound music,0,21,0,16,0,17
13113,Ben-Hur,ben hur,0,2,0,1,4,1
11909,The Iron Giant,iron giant,0,21,0,17,26,0
20511,Memories of Murder,memories murder,1,18,1,16,0,16
12613,Wild Tales,wild tales,0,4,0,3,0,4
19960,La Haine,la haine,0,11,0,10,0,9
195544,PK,pk,0,1,0,2,0,1
19788,The Seventh Seal,seventh seal,1,5,0,6,0,5
104174,In the Name of the Father,name father,0,1,0,3,0,2
10494,Mary And Max,mary max,20,2,15,3,26,0
47514,Barry Lyndon,barry lyndon,0,10,0,4,0,5
13802,The Handmaiden,handmaiden,0,54,0,43,1,42
21813,Rashomon,rashomon,0,9,0,8,0,10
12246,The Third Man,third man,0,9,0,8,0,4
160655,Network,network,0,7,0,5,0,5
94978,In the Mood for Love,mood love,0,9,0,9,0,9
17063,On the Waterfront,on waterfront,0,4,0,5,7,0
11001,Rebecca,rebecca,0,8,0,8,0,8
12677,Yojimbo,yojimbo,0,10,0,6,0,6
19499,Treasure of the Sierra Madre,treasure sierra madre,0,3,0,3,5,1
236791,"Paris, Texas",paris texas,0,12,0,10,0,10
68471,Mr. Smith Goes to Washington,mr smith goes washington,0,1,0,1,0,1
20059,A Silent Voice,silent voice,1,63,0,54,53,0
44038,Baahubali 2: The Conclusion,baahubali ii conclusion,0,1,0,1,2,1
38125,The Gold Rush,gold rush,0,5,0,2,3,0
64048,Lagaan: Once Upon a Time in India,lagaan once upon time india,0,1,0,1,2,0
22277,Andhadhun,andhadhun,0,2,0,2,0,1
46972,Demon Slayer Movie: Infinity Train,demon slayer movie infinity train,0,14,0,12,0,13
180612,Children of Heaven,children heaven,0,2,0,2,0,2
89048,How the Grinch Stole Christmas!,how grinch stole christmas,0,7,0,3,0,4
12767,The Cove,cove,0,4,0,3,5,0
9323,Dear Zachary: a Letter to a Son About His Father,dear zachary letter son about his father,0,6,0,7,0,6
161454,Baraka,baraka,0,2,0,2,0,1
928891,Avatar,avatar,57,7,40,11,65,0
12371,Titanic,titanic,48,116,1,105,36,75
10114,Iron Man,iron man,0,50,0,38,0,36
13565,Thor: Ragnarok,thor ragnarok,80,34,0,58,45,3
1211438,Arrival,arrival,0,12,0,8,0,9
21125,Knives Out,knives out,2,250,3,208,2,199
11239,Shrek,shrek,27,77,4,68,106,7
9471,Edge of Tomorrow,edge tomorrow,0,9,0,8,0,10
12668,X-Men: Days of Future Past,x men days future past,0,12,0,9,0,9
13293,District 9,district ix,5,14,0,18,17,3
9886,Harry Potter And the Prisoner of Azkaban,harry potter prisoner azkaban,5,53,2,41,37,14
10370,Life of Pi,life pi,14,6,3,11,29,0
12406,Toy Story 2,toy story ii,0,18,0,15,3,12
11374,Star Trek,star trek,2,20,0,20,4,16
16558,Bohemian Rhapsody,bohemian rhapsody,0,87,1,84,0,69
11225,Shaun of the Dead,shaun dead,2,45,0,37,23,17
12091,The Perks of Being a Wallflower,perks being wallflower,2,86,0,70,1,72
9148,Children of Men,children men,34,1,0,12,20,3
9273,Dallas Buyers Club,dallas buyers club,0,3,0,3,0,3
152505,Mystic River,mystic river,0,8,0,7,0,7
10064,In Bruges,bruges,2,26,0,12,0,17
20598,Jojo Rabbit,jojo rabbit,2,111,1,100,179,0
701731,Zack Snyder's Justice League,zack snyders justice league,0,13,0,9,17,2
14843,E.T. the Extra-Terrestrial,et extra terrestrial,1,15,0,12,0,11
1072300,Guardians of the Galaxy Vol. 3,guardians galaxy vol iii,2,10,0,11,24,0
10616,Mulholland Drive,mulholland drive,0,22,0,18,0,18
16739,The Nightmare Before Christmas,nightmare before christmas,10,62,1,60,62,3
14402,Boyhood,boyhood,0,12,0,7,0,7
708482,Marriage Story,marriage story,0,24,0,20,0,22
46136,Scent of a Woman,scent woman,0,5,0,5,0,5
10453,Magnolia,magnolia,24,0,0,15,20,0
15445,The Wrestler,wrestler,0,5,0,5,0,5
14033,Dances With Wolves,dances with wolves,44,0,0,14,28,0
17671,The Graduate,graduate,0,8,0,7,0,8
13305,Dog Day Afternoon,dog day afternoon,0,20,0,12,0,11
8678,Amores Perros,amores perros,33,0,0,10,21,0
13247,Lion,lion,0,6,0,5,0,4
18915,Rosemarys Baby,rosemarys baby,0,32,0,27,0,26
9723,Gandhi,gandhi,0,3,0,3,0,2
28207,Ip Man,ip man,0,5,0,4,0,4
9048,Butch Cassidy And the Sundance Kid,butch cassidy sundance kid,8,3,0,4,7,0
8617,Akira,akira,65,0,0,30,40,1
33017,Planet of the Apes,planet apes,1,10,0,8,6,2
32334,Cinderella Man,cinderella man,0,4,0,2,0,2
9223,Cool Hand Luke,cool hand luke,10,0,0,3,8,0
30139,Castle in the Sky,castle sky,0,17,0,16,0,18
10667,Nausicaä of the Valley of the Wind,nausicaä valley wind,1,21,0,21,21,0
735832,CODA,coda,0,19,0,19,23,0
63658,JFK,jfk,0,3,0,3,0,3
12684,Young Frankenstein,young frankenstein,0,17,0,7,0,9
9400,Dogville,dogville,1,16,0,10,0,9
30539,Roman Holiday,roman holiday,0,8,0,6,0,5
37500,Bowling for Columbine,bowling columbine,0,2,0,2,0,2
47149,Bahubali: The Beginning,bahubali beginning,0,3,0,3,3,0
20612,Papillon,papillon,0,2,0,3,5,0
16273,Persona,persona,0,16,0,13,20,1
38427,Infernal Affairs,infernal affairs,0,2,0,2,0,2
16656,The 400 Blows,400 blows,0,4,0,4,0,3
19787,Wild Strawberries,wild strawberries,0,4,0,4,0,4
23959,Portrait of a Lady on Fire,portrait lady on fire,0,57,0,45,0,50
14416,Do the Right Thing,do right thing,0,16,0,14,0,14
15980,It Happened One Night,skit happened i night,0,6,0,5,0,5
46434,Elite Squad,elite squad,0,4,0,4,0,4
12347,Three Colors: Red,three colors red,7,1,0,3,0,2
17035,The Diving Bell and the Butterfly,diving bell butterfly,0,3,0,3,1,2
11809,The Grapes of Wrath,grapes wrath,6,1,0,2,3,0
236816,The General,general,0,2,0,2,0,2
58652,The Man Who Shot Liberty Valance,man who shot liberty valance,0,3,0,2,0,2
16858,Free Solo,free solo,0,3,0,3,0,2
8939,Blackfish,blackfish,0,7,0,7,16,0
70349,Tokyo Story,tokyo story,0,5,0,5,0,5
126330,The Battle of Algiers,battle algiers,0,3,0,3,0,3
10678,Neon Genesis Evangelion: the End of Evangelion,neon genesis evangelion end evangelion,22,18,0,26,8,13
39491,Diabolique,diabolique,0,7,0,7,0,7
236752,Le Salaire de la peur,le salaire de la peur,0,0,0,1,0,0
8636,All Quiet On the Western Front,all quiet on western front,0,4,1,3,3,0
158716,Tumbbad,tumbbad,0,4,0,5,0,4
29699,Fanny and Alexander,fanny alexander,1,3,0,3,0,3
33100,The Passion of Joan of Arc,passion joan arc,0,7,0,6,0,6
70679,Miracle in Cell No. 7,miracle cell no vii,0,3,0,3,0,3
41113,A Charlie Brown Christmas,charlie brown christmas,0,3,0,3,0,3
100016,Samsara,samsara,0,1,0,1,5,0
959972,20 Days In Mariupol,20 days mariupol,0,2,7,0,7,0
112699,The Best of Youth,best youth,0,1,0,1,0,1
11847,The Hobbit: An Unexpected Journey,hobbit an unexpected journey,0,24,0,24,29,1
751627,Captain America: Civil War,captain america civil war,27,3,0,24,5,19
869212,The Batman,batman,3,136,0,130,3,106
12205,The Social Network,social network,0,18,0,16,0,19
13199,Dunkirk,dunkirk,0,33,0,22,1,21
12803,Get Out,get out,32,225,5,156,220,3
11281,Skyfall,skyfall,0,17,0,14,0,12
9439,Drive,drive,0,26,0,21,0,20
15061,The Hobbit: The Desolation of Smaug,hobbit desolation smaug,0,15,0,18,14,3
899465,Rogue One: A Star Wars Story,rogue i star wars story,0,21,0,15,1,12
11678,The Curious Case of Benjamin Button,curious case benjamin button,5,8,0,4,0,6
11828,The Hateful Eight,hateful viii,0,25,0,18,8,12
9097,Cast Away,cast away,2,18,0,15,16,2
14780,The Notebook,notebook,8,27,1,15,2,15
10705,Nightcrawler,nightcrawler,0,26,0,21,0,21
8795,Back to the Future Part II,back future ii,0,20,0,12,0,15
826818,The Bourne Identity,bourne identity,33,4,0,11,22,2
121671,Everything Everywhere All at Once,everything everywhere all at once,151,100,9,154,122,18
9983,Hot Fuzz,hot fuzz,9,44,0,49,7,41
9472,Edward Scissorhands,edward scissorhands,2,46,1,41,0,37
10389,Little Miss Sunshine,little miss sunshine,0,60,0,53,1,55
8906,Big Hero 6,big hero vi,0,39,1,34,1,27
13749,The Big Short,big short,0,9,0,7,0,6
11796,The Girl With the Dragon Tattoo,girl with dragon tattoo,42,21,90,1,50,3
29854,Captain Phillips,captain phillips,0,12,0,6,0,6
12412,Training Day,training day,0,10,0,9,0,9
21554,The Last Samurai,last samurai,0,2,0,1,4,0
30933,Predator,predator,0,22,0,16,26,1
8664,American Gangster,american gangster,24,3,0,5,17,1
9739,Ghostbusters,ghostbusters,0,32,0,27,3,20
11623,The Breakfast Club,breakfast club,0,52,0,47,0,50
21411,The Irishman,irishman,0,15,0,11,17,0
16201,About Time,about time,0,31,0,24,0,24
9588,Ferris Buellers Day Off,ferris buellers day off,1,45,0,34,0,35
10014,How to Train Your Dragon 2,how train your dragon ii,1,28,0,22,29,2
10588,Moon,moon,0,12,0,12,0,11
10591,Moonrise Kingdom,moonrise kingdom,73,0,2,41,47,0
10944,Pride And Prejudice,pride prejudice,2,28,0,30,0,29
749562,Poor Things,poor things,7,73,1,50,117,0
8733,Apocalypto,apocalypto,19,1,1,9,16,0
25902,The Untouchables,untouchables,0,5,0,5,0,5
14577,Call Me By Your Name,call me by your name,0,104,1,91,21,66
12753,Manchester By the Sea,manchester by sea,2,18,0,8,0,6
14507,The Fugitive,fugitive,0,8,0,9,0,9
8765,Atonement,atonement,0,14,0,11,17,6
41518,Serenity,serenity,0,6,0,5,1,4
8644,Almost Famous,almost famous,0,19,0,13,0,13
15295,Boogie Nights,boogie nights,0,13,0,10,0,9
9564,Fantastic Mr. Fox,fantastic mr fox,26,29,1,26,40,0
21054,"Crouching Tiger, Hidden Dragon",crouching tiger hidden dragon,0,5,0,3,0,1
9228,Coraline,coraline,57,105,1,156,171,2
8721,Annie Hall,annie hall,0,4,0,3,4,0
14187,Hidden Figures,hidden figures,0,13,0,10,0,9
17513,Walk the Line,walk line,0,4,1,3,0,3
12441,True Romance,true romance,0,15,0,9,5,7
24956,A Fistful of Dollars,fistful dollars,0,7,0,5,0,5
15512,Carlito's Way,carlitos way,0,3,0,3,0,3
11599,The Blues Brothers,blues brothers,0,14,0,15,0,16
1069261,The Holdovers,holdovers,0,26,0,23,1,23
17748,Wonder,wonder,75,1,0,19,16,23
48091,Before Midnight,before midnight,0,5,3,2,3,2
8508,A Christmas Story,christmas story,0,23,0,17,0,18
11999,The Maltese Falcon,maltese falcon,0,6,0,5,0,5
27703,Ghost in the Shell,ghost shell,0,8,0,8,0,8
17456,Rope,rope,0,19,0,17,0,16
12336,This Is Spinal Tap,this spinal tap,0,8,0,7,0,7
236818,Spartacus,spartacus,0,3,0,3,0,3
13271,Strangers On a Train,strangers on train,0,8,0,5,0,6
1518310,F1,f1,0,8,0,7,0,6
20625,The Raid 2,raid ii,1,4,0,4,0,5
24173,All the President's Men,all presidents men,0,4,0,4,0,4
17651,Dancer in the Dark,dancer dark,0,8,0,6,0,6
8560,A Streetcar Named Desire,streetcar named desire,0,9,0,7,0,6
16750,High Noon,high noon,0,2,0,3,0,2
43224,Touch of Evil,touch evil,0,1,0,1,0,1
10835,Patton,patton,5,1,2,2,7,0
100964,Notorious,notorious,0,3,0,3,0,2
147305,Chungking Express,chungking express,0,16,1,12,0,14
11270,Sing Street,sing street,0,8,0,7,0,7
13883,The Straight Story,straight story,1,10,0,6,12,1
17066,The Night of the Hunter,night hunter,0,13,0,10,10,2
86837,Persepolis,persepolis,0,9,0,9,0,8
236758,The Killing,killing,0,10,0,4,10,3
110378,Solaris,solaris,0,4,0,3,0,3
11292,Sling Blade,sling blade,1,6,1,4,1,4
11236,Short Term 12,short term 12,1,15,0,16,19,0
27060,King Kong,king kong,0,5,0,4,7,0
236810,The Big Sleep,big sleep,0,5,0,5,0,5
41327,The Wild Bunch,wild bunch,1,0,0,2,6,0
17077,Shoplifters,shoplifters,0,8,0,6,0,5
19684,"Spring, Summer, Fall, Winter... and Spring",spring summer fall winter spring,1,2,0,2,6,0
10876,Pink Floyd the Wall,pink floyd wall,0,9,0,7,15,1
10293,La Dolce Vita,la dolce vita,0,1,0,2,0,2
12605,Whos Afraid of Virginia Woolf,whos afraid virginia woolf,0,4,0,4,0,4
21201,Dilwale Dulhania Le Jayenge,dilwale dulhania le jayenge,0,2,0,2,0,2
8693,Anatomy of a Murder,anatomy murder,0,5,0,5,3,0
30020,The Cabinet of Dr. Caligari,cabinet dr caligari,0,8,0,7,0,8
81884,The Legend of 1900,legend 1900,0,2,0,2,0,2
43574,Rio Bravo,rio bravo,0,1,0,1,0,1
17022,La Strada,la strada,1,3,0,3,1,2
11326,Song of the Sea,song sea,1,15,0,16,1,12
12570,What Ever Happened to Baby Jane,what ever happened baby jane,1,16,0,15,25,0
17484,Mommy,mommy,2,11,0,7,0,9
166571,Le Samouraï,le samouraï,0,7,0,7,0,8
41144,"Sherlock, Jr.",sherlock jr,0,6,0,4,0,4
65633,Underground,underground,0,1,0,1,1,0
8699,Andrei Rublev,andrei rublev,7,0,1,3,5,1
12232,The Tale of The Princess Kaguya,tale princess kaguya,0,12,0,11,14,0
17468,Throne of Blood,throne blood,0,9,0,5,0,6
27439,Winter Sleep,winter sleep,2,0,0,1,2,0
21447,Departures,departures,0,5,0,5,6,1
31863,Paper Moon,paper moon,0,6,0,6,0,5
13376,Sunrise: a Song of Two Humans,sunrise song ii humans,0,5,0,4,0,4
46811,Nights of Cabiria,nights cabiria,1,3,0,4,0,3
17487,The Last Picture Show,last picture show,0,3,0,4,0,4
50941,Wolf Children,wolf children,22,0,0,13,19,0
189491,Udaan,udaan,0,1,0,1,0,1
12374,To Be Or Not to Be,be or not be,0,4,0,4,0,4
881180,What Is a Woman?,what woman,0,3,0,2,4,1
19871,The Act of Killing,act killing,0,5,0,5,3,2
