itemid,name,topicid,TopicName,comment,yes,no,voteSum,scores,death_confirmed,emotionality,on_screen,intentionality,species,named_animal,plot_point
19616,Ralph Breaks the Internet,189,an animal dies,"Its not clear, but during a midroll extra scene it is implied that an animal character explodes and perhaps dies",1,0,5,,ambiguous,2,ambiguous,ambiguous,unknown,yes,no
11416,Straw Dogs,186,a cat dies,"A cat is found strangled and hanging in a closet. You can see its face, eyes open and tongue sticking out.",1,0,3,,yes,4,aftermath,deliberate,cat,ambiguous,ambiguous
20992,The Devil's Advocate,153,a dog dies,"Saw 8 yes votes, never saw a dog die.",0,1,1,,ambiguous,NA,NA,NA,NA,NA,NA
13250,Mississippi Burning,153,a dog dies,A barn is intentionally set on fire with several animals inside.  It shows the barn burning while you hear the cows mooing from inside.  The owner unsuccessfully tries to get them out.  The following day they show the cows' charred carcasses.,1,0,2,,no,NA,NA,NA,NA,NA,NA
13145,Okja,189,an animal dies,Superpigs die.,1,0,3,,yes,3,ambiguous,ambiguous,pig,ambiguous,ambiguous
537614,The Silencing,189,an animal dies,"Hunters are watching a deer, but their guns are taken away before they can shoot it.",0,1,5,,no,NA,NA,NA,NA,NA,NA
8615,Airplane,153,a dog dies,"Shep the dog attacks a man. The dog is not hurt. A horse is seen briefly, sleeping in a bed with a woman. A Dalmatian barks from a fire truck.",0,1,1,,no,NA,NA,NA,NA,NA,NA
9739,Ghostbusters,153,a dog dies,"The demons are charred at the end and referred to as dogs, but they are not actually dogs and the humans they possessed are freed.",0,1,3,,no,NA,NA,NA,NA,NA,NA
979221,Le Comte de Monte-Cristo,189,an animal dies,"A deer is killed during a hunting party 
We hear a shot then we see the deer on the ground wounded 
One of the characters kills it with a knife 
",1,0,2,,yes,3,on_screen,deliberate,deer,no,ambiguous
10835,Patton,189,an animal dies,"About 1hr 20 min into the movie, two donkeys are shot (off screen) so the troops can pass. Their bodies are shown afterwards and tossed unceremoniously over a bridge.",1,0,1,,yes,2,aftermath,deliberate,donkey,no,no
19796,The Lion King,153,a dog dies,There are no dogs in the film.,0,1,1,,no,NA,NA,NA,NA,NA,NA
11550,The Adventures of Tintin,153,a dog dies,Animated. The dog Snowy does not die or appear to be dead during the film.,0,1,16,,no,NA,NA,NA,NA,NA,NA
9084,Carrie,189,an animal dies,"Pigs get slaughtered, but it's not all too explicit (the camera is focused on the characters and not the pigs and the killing).",1,0,13,,yes,2,ambiguous,deliberate,pig,no,no
12769,Hunt for the Wilderpeople,189,an animal dies,"Boars/pigs (Somewhat graphically) and a whole mess of hunted animals (Deer, birds, various small rodents and mammals.) that are shown being prepared to eat/being skinned.",1,0,11,,yes,2,aftermath,deliberate,boar/pig; deer; birds; rodents and small mammals,no,no
11839,The Hills Have Eyes,189,an animal dies,Shows a VERY GRAPHIC death of a lovebird.,1,0,8,,yes,4,on_screen,ambiguous,lovebird,ambiguous,ambiguous
11595,The Blob,153,a dog dies,"Lots of people and a few sewer rats die, but no pets.",0,1,16,,no,NA,NA,NA,NA,NA,NA
11927,The Kings of Summer,189,an animal dies,"1. A baby bunny is killed with a sword. We don't see the actual killing but we hear a horrible cry of pain from the dying animal. The following scene depicts very graphically how the teenage boy skins and cuts the poor thing. He then starts to cook it and throws the severed and bloody head through a basketball hoop. A quick research showed that it was in fact a real rabbit that was skinned. 2. A snake is decapitated with a machete (wtf) after biting one of the characters. 3. it is implied that one of the protagonists caught and ate a mouse. 4. We hear two characters talk about a pet turtle that was ""tied to a kite and sent to space"" by stupid children. It died because of this fucked up shit",1,0,4,,yes,5,aftermath,deliberate,rabbit; snake; mouse; turtle,no,ambiguous
9735,Ghost Dog: the Way of the Samurai,189,an animal dies,"Most of Ghost Dog's pigeons are killed :( One is shot on-screen by a mafia guy. Later, Ghost Dog comes home to find the rest of the pigeons have been killed (except one, his favourite). If you don't want to see dead birds, skip forward from when he walks out onto the roof at 55:50 until 57:20 (the times on my copy of the film). Also, a dead bear killed by hunters is seen. On the plus side, all the people who killed animals are killed in revenge.",1,0,3,,yes,4,on_screen,deliberate,pigeon; bear,ambiguous,yes
11239,Shrek,153,a dog dies,I think people are thinking of the second movie but idk i never saw any dogs die,0,1,11,,ambiguous,NA,NA,NA,NA,NA,NA
25274,My Spy,153,a dog dies,"The dog is briefly threatened with a knife (he squirms and makes scared noises), and then he gets locked in a bathroom and is not seen again, but there's no reason to believe he dies.",0,1,2,,no,NA,NA,NA,NA,NA,NA
10057,Idle Hands,153,a dog dies,"Duke is shown early on when he's out of food and again when Anton is investigating odd sounds in his house. In the latter scene, Anton pushes Duke ahead of himself and then drags him along with neither really wanting to face whatever the sound is coming from. The actions in the scene are straight out of Scooby-Doo; Shaggy did the same thing in every episode. Duke isn't seen again, but nothing happens to him on-screen and it's never stated or implied that he's dead.",0,1,6,,no,NA,NA,NA,NA,NA,NA
9564,Fantastic Mr. Fox,189,an animal dies,"An anthropomorphic rat is killed in hand-to-hand combat with the protagonist, an anthropomorphic fox.",1,0,3,,yes,3,on_screen,deliberate,rat,ambiguous,ambiguous
11571,The Bad Lieutenant: Port of Call - New Orleans,153,a dog dies,"No, the votes are wrong on this one. A mobster threatens to kill a dog if the main character doesn't pay money he owes. However, the dog does NOT die or get hurt.",0,1,4,,no,NA,NA,NA,NA,NA,NA
10857,Pet Sematary,153,a dog dies,"An australian cattle dog gets killed, buried in the pet sematary and then comes back as a zombie.",1,0,2,,yes,3,ambiguous,ambiguous,dog,ambiguous,yes
10005,Housebound,186,a cat dies,"There is a mention of a cat (moggie) having its legs torn off, but nothing is shown.",0,1,3,,ambiguous,3,off_screen,ambiguous,cat,no,ambiguous
9212,The Conjuring,189,an animal dies,A pigeon slams into the side of the house and dies in the grass.,1,0,15,,yes,2,on_screen,accidental,pigeon,no,no
20969,Fractured,189,an animal dies,"There is a dead animal, just after the coffee is spilled at the rest stop. A dog appears to have been eating it. The dog does not die.",1,0,8,,ambiguous,1,aftermath,ambiguous,unknown,no,no
21127,The Awakening,189,an animal dies,"A raven is sacrificed at a table where people are performing some sort of ritual at the start of the movie, and I immediately turned it off.",1,0,3,,yes,3,on_screen,deliberate,raven,no,ambiguous
15840,Under the Silver Lake,189,an animal dies,A squirrel falls from a tree and hits the concrete. A little blood and guts is visible beneath it.,1,0,3,,yes,2,aftermath,accidental,squirrel,no,no
9881,Harry Potter And the Deathly Hallows: Part 1,189,an animal dies,"spoiler: oh my gosh, not just an ""owl""!  It is Hedwig, Harry's belove owl. But at least we dont see him suffering or dead, just falling away.",1,0,5,,yes,4,on_screen,ambiguous,owl,yes,yes
9916,Hellraiser,189,an animal dies,"Dead rats are shown several times, in a very graphic and unsettling way",1,0,13,,yes,4,aftermath,ambiguous,rat,no,ambiguous
11838,The Hills Have Eyes,189,an animal dies,"A pig is seen dead in a cage. 

A bird is decapitated and their blood is ingested.",1,0,3,,yes,3,on_screen,deliberate,pig; bird,no,ambiguous
20131,Boy,189,an animal dies,"It’s a pet goat, so it’s not just a random goat. Therefore more sad.",1,0,6,,ambiguous,4,ambiguous,ambiguous,goat,yes,ambiguous
13454,Chronicle,153,a dog dies,A character rips a spider apart.,1,0,1,,no,NA,NA,NA,NA,NA,NA
17344,Mr. Nobody,189,an animal dies,At one point a CGI bird is hit by a car.,1,0,1,,ambiguous,1,on_screen,accidental,bird,no,no
12555,We Need to Talk About Kevin,189,an animal dies,"Celia's guinea pig disappears, and Eva realizes it's in the garbage disposal after it's too late. It is not graphic, but the idea is disturbing.",1,0,9,,yes,3,off_screen,accidental,guinea pig,no,ambiguous
14054,Seven Psychopaths,189,an animal dies,There are a few scenes that make you think an animal might die - like a rabbit or a dog - but all the animals are just fine!,0,1,3,,no,NA,NA,NA,NA,NA,NA
10204,Julie & Julia,189,an animal dies,Lobsters are tossed in boiling water. I couldn't see them moving in the film during this scene.,1,0,1,,ambiguous,1,on_screen,deliberate,lobster,no,no
11966,The Lincoln Lawyer,153,a dog dies,A dog is shot and killed.,1,0,15,,yes,3,ambiguous,deliberate,dog,ambiguous,ambiguous
10057,Idle Hands,186,a cat dies,"Cat is hurled into the neighbor's yard, but you can hear it hissing and running off so it is still alive",0,1,4,,no,NA,NA,NA,NA,NA,NA
21793,Dark Waters,189,an animal dies,Dupont's poisoning of the water in a West Virginia community resulted in many farm animals dying. The film has scenes of cows either dead or in distress. One especially sad scene has a farmer who has to shoot one of his beloved cows who has been driven to dementia from the chemical poisoning.,1,0,8,,yes,5,on_screen,accidental,cow,ambiguous,yes
10808,Pain & Gain,153,a dog dies,"Three dogs appear, none die. The main character's greyhound, Tasty Ruben, runs away but is later found. A small dog named Chopin ends up carrying around somebody's finger but is not harmed. A third dog is seen for a few seconds, swimming in a pool.",0,1,15,,no,NA,NA,NA,NA,NA,NA
829577,The Innocents,186,a cat dies,"Just to clarify the timing of the scene where the cat gets killed, because I don’t want it to be misunderstood by any other cat lovers. Please note the heartbreaking scene with the cat being killed by the shitty child characters is more like 25 minutes in, NOT ‘almost at the beginning’. I wish it had been a couple minutes into the run time, because I fast-forwarded through that, only to think it was safe to watch because the killing of the adorable cat was done, and then I had to see it about 25 minutes in... just horrible and graphic. I strongly advise my fellow cat lovers who do not want their day ruined to just fast-forward as soon as you see the sociopathic little boy walking up to the friendly little cat at 23 minutes in, don’t look at the screen up to 27 minutes just to be safe. I don’t even want to describe what they do to it, it’s so graphic and cruel.

Trust me on this, you do NOT want to view this sequence if you don’t want to see someone’s cute pet killed, especially a sweet-natured cat.",1,0,32,,yes,5,on_screen,deliberate,cat,no,ambiguous
40977,Onward,189,an animal dies,"A dragon, as described in a comment under ""does a dragon die"". The ""mighty steed"" mentioned in the other comment is a car that gets destroyed; it's a prized possession of one character but it's never portrayed as alive.",1,0,6,,ambiguous,NA,NA,NA,NA,NA,NA
11828,The Hateful Eight,189,an animal dies,But a dead chicken is having it's feathers removed and there's talk about horses being put down,0,1,3,,ambiguous,2,ambiguous,ambiguous,chicken; horse,no,no
21551,Gummo,186,a cat dies,"a lot of them, literally every cat",1,0,16,,yes,3,ambiguous,ambiguous,cat,ambiguous,ambiguous
17635,Alita: Battle Angel,153,a dog dies,It is towards the middle of the movie. The little dog who Alita saves gets shot by the villain in the 'Hunter' bar. The death is not shown but a shot goes off and you can hear the whimper. Alita does use the dog's blood as marking on her face.,1,0,25,,yes,3,aftermath,deliberate,dog,no,yes
11689,The Danish Girl,189,an animal dies,It may be worth noting that there is a close-up of a dead fish being sliced open for gutting at the beginning of the film.,0,1,2,,yes,1,aftermath,deliberate,fish,no,no
12829,Hush,186,a cat dies,"The killer does attempt to kill B***h the cat, but the main character stops him before the cat is harmed.  The cat survives the entire movie.",0,1,33,,no,NA,NA,NA,NA,NA,NA
16558,Bohemian Rhapsody,186,a cat dies,"Multiple cats appear, none are harmed.",0,1,3,,no,NA,NA,NA,NA,NA,NA
10793,Out of Sight,189,an animal dies,A goldfish is squished inside its bag,1,0,1,,yes,2,on_screen,ambiguous,goldfish,no,ambiguous
9641,Forrest Gump,189,an animal dies,Some shrimps had been caught to die,1,0,7,,yes,1,ambiguous,deliberate,shrimp,no,no
12467,Unbroken,189,an animal dies,"At about 40:00  a seagull is caught and killed, then a fish. A shark is caught and killed at 49:00. At 53:00 a shark is hit and  killed by a bullet from a plane. An attacking shark is beaten with an oar at 55:00.",1,0,2,,yes,2,on_screen,deliberate,seagull; fish; shark,no,no
10370,Life of Pi,189,an animal dies,"50 minutes in, the hyena kills the zebra, and you will see the dead body in the next scene. At 52 minutes, the hyena kills the orangutan, then right after, the tiger quickly kills the hyena. A rat is fed to the tiger at 55:50. 1 hour and 10 minutes you’ll hear a large fish being killed and then you’ll see some blood and it being subsequently eaten by the tiger. You’ll see many small fish and one large fish suffering out of water at 1 hour and 16 min, then eaten. 1:37 the tiger eats a meerkat in the distance. Just before 1:40 you’ll see dead fish in the bioluminescent water but they’re hard to make out and in the distance.",1,0,1,,yes,2,aftermath,accidental,zebra; orangutan; hyena; rat; fish; meerkat,ambiguous,ambiguous
12649,Wonder Boys,153,a dog dies,A blind dog is shot and killed after biting an intruder.,1,0,17,,yes,3,ambiguous,deliberate,dog,ambiguous,ambiguous
12197,The Skeleton Twins,189,an animal dies,2 fish die after being forgotten in plastic bags,1,0,3,,yes,2,ambiguous,accidental,fish,no,no
9737,Ghost In the Shell 2: Innocence,153,a dog dies,Batou's dog lives a happy bumbling life throughout the film:),0,1,2,,no,NA,NA,NA,NA,NA,NA
11068,Rocky,153,a dog dies,"No harm comes to Cuff and Link the turtles, Moby D**k the goldfish or Butkus the dog.",0,1,18,,no,NA,NA,NA,NA,NA,NA
